label,family,device,precision,task,benchmark_class,n_sizes,n_front,eps_min,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,S_range,x_range,d_aicc,status
qwen1.5 | 1xA10 | float16 | ARC-Challenge,qwen/qwen1.5,1xA10,float16,ARC-Challenge,retired,6,6,0.48687,0.342261,0.3933,0.1966,0.1083,0.3478,0.0606,0.9953,0.629,3.347,-3.91,identified
qwen1.5 | 32vCPU-C7i | float32 | ARC-Challenge,qwen/qwen1.5,32vCPU-C7i,float32,ARC-Challenge,retired,5,5,0.57907,,,,,,,,0.456,2.786,,excluded: front shorter than six points
qwen1.5 | 32vCPU-C7i | float32 | BBH,qwen/qwen1.5,32vCPU-C7i,float32,BBH,headroom,5,5,0.69937,,,,,,,,0.306,2.786,,excluded: front shorter than six points
qwen1.5 | 32vCPU-C7i | float32 | GPQA,qwen/qwen1.5,32vCPU-C7i,float32,GPQA,headroom,5,2,0.92617,,,,,,,,0.071,0.832,,excluded: front shorter than six points
qwen1.5 | 32vCPU-C7i | float32 | GSM8K,qwen/qwen1.5,32vCPU-C7i,float32,GSM8K,retired,5,5,0.3237,,,,,,,,0.95,2.786,,excluded: front shorter than six points
qwen1.5 | 32vCPU-C7i | float32 | HellaSwag,qwen/qwen1.5,32vCPU-C7i,float32,HellaSwag,retired,5,5,0.25227,,,,,,,,0.991,2.786,,excluded: front shorter than six points
qwen1.5 | 32vCPU-C7i | float32 | IFEval,qwen/qwen1.5,32vCPU-C7i,float32,IFEval,headroom,5,5,0.70946,,,,,,,,0.156,2.786,,excluded: front shorter than six points
qwen1.5 | 32vCPU-C7i | float32 | MATH Lvl 5,qwen/qwen1.5,32vCPU-C7i,float32,MATH Lvl 5,headroom,5,5,0.79758,,,,,,,,0.209,2.786,,excluded: front shorter than six points
qwen1.5 | 32vCPU-C7i | float32 | MMLU,qwen/qwen1.5,32vCPU-C7i,float32,MMLU,retired,5,5,0.40853,,,,,,,,0.683,2.786,,excluded: front shorter than six points
qwen1.5 | 32vCPU-C7i | float32 | MMLU-PRO,qwen/qwen1.5,32vCPU-C7i,float32,MMLU-PRO,headroom,5,5,0.70626,,,,,,,,0.313,2.786,,excluded: front shorter than six points
qwen1.5 | 32vCPU-C7i | float32 | MuSR,qwen/qwen1.5,32vCPU-C7i,float32,MuSR,headroom,5,4,0.89536,,,,,,,,0.067,2.786,,excluded: front shorter than six points
qwen1.5 | 32vCPU-C7i | float32 | Winogrande,qwen/qwen1.5,32vCPU-C7i,float32,Winogrande,retired,5,5,0.5304,,,,,,,,0.478,2.786,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA10 | float16 | ARC-Challenge,qwen/qwen1.5-moe-a,1xA10,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA10 | float16 | BBH,qwen/qwen1.5-moe-a,1xA10,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA10 | float16 | GPQA,qwen/qwen1.5-moe-a,1xA10,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA10 | float16 | GSM8K,qwen/qwen1.5-moe-a,1xA10,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA10 | float16 | HellaSwag,qwen/qwen1.5-moe-a,1xA10,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA10 | float16 | IFEval,qwen/qwen1.5-moe-a,1xA10,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA10 | float16 | MATH Lvl 5,qwen/qwen1.5-moe-a,1xA10,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA10 | float16 | MMLU,qwen/qwen1.5-moe-a,1xA10,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA10 | float16 | MMLU-PRO,qwen/qwen1.5-moe-a,1xA10,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA10 | float16 | MuSR,qwen/qwen1.5-moe-a,1xA10,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA10 | float16 | Winogrande,qwen/qwen1.5-moe-a,1xA10,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | bfloat16 | ARC-Challenge,qwen/qwen1.5-moe-a,1xA100,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | bfloat16 | BBH,qwen/qwen1.5-moe-a,1xA100,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | bfloat16 | GPQA,qwen/qwen1.5-moe-a,1xA100,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | bfloat16 | GSM8K,qwen/qwen1.5-moe-a,1xA100,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | bfloat16 | HellaSwag,qwen/qwen1.5-moe-a,1xA100,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | bfloat16 | IFEval,qwen/qwen1.5-moe-a,1xA100,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | bfloat16 | MATH Lvl 5,qwen/qwen1.5-moe-a,1xA100,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | bfloat16 | MMLU,qwen/qwen1.5-moe-a,1xA100,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | bfloat16 | MMLU-PRO,qwen/qwen1.5-moe-a,1xA100,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | bfloat16 | MuSR,qwen/qwen1.5-moe-a,1xA100,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | bfloat16 | Winogrande,qwen/qwen1.5-moe-a,1xA100,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | float16 | ARC-Challenge,qwen/qwen1.5-moe-a,1xA100,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | float16 | BBH,qwen/qwen1.5-moe-a,1xA100,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | float16 | GPQA,qwen/qwen1.5-moe-a,1xA100,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | float16 | GSM8K,qwen/qwen1.5-moe-a,1xA100,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | float16 | HellaSwag,qwen/qwen1.5-moe-a,1xA100,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | float16 | IFEval,qwen/qwen1.5-moe-a,1xA100,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | float16 | MATH Lvl 5,qwen/qwen1.5-moe-a,1xA100,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | float16 | MMLU,qwen/qwen1.5-moe-a,1xA100,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | float16 | MMLU-PRO,qwen/qwen1.5-moe-a,1xA100,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | float16 | MuSR,qwen/qwen1.5-moe-a,1xA100,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xA100 | float16 | Winogrande,qwen/qwen1.5-moe-a,1xA100,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xT4 | float16 | ARC-Challenge,qwen/qwen1.5-moe-a,1xT4,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xT4 | float16 | BBH,qwen/qwen1.5-moe-a,1xT4,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xT4 | float16 | GPQA,qwen/qwen1.5-moe-a,1xT4,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xT4 | float16 | GSM8K,qwen/qwen1.5-moe-a,1xT4,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xT4 | float16 | HellaSwag,qwen/qwen1.5-moe-a,1xT4,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xT4 | float16 | IFEval,qwen/qwen1.5-moe-a,1xT4,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xT4 | float16 | MATH Lvl 5,qwen/qwen1.5-moe-a,1xT4,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xT4 | float16 | MMLU,qwen/qwen1.5-moe-a,1xT4,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xT4 | float16 | MMLU-PRO,qwen/qwen1.5-moe-a,1xT4,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xT4 | float16 | MuSR,qwen/qwen1.5-moe-a,1xT4,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 1xT4 | float16 | Winogrande,qwen/qwen1.5-moe-a,1xT4,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | bfloat16 | ARC-Challenge,qwen/qwen1.5-moe-a,32vCPU-C7i,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | bfloat16 | BBH,qwen/qwen1.5-moe-a,32vCPU-C7i,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | bfloat16 | GPQA,qwen/qwen1.5-moe-a,32vCPU-C7i,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | bfloat16 | GSM8K,qwen/qwen1.5-moe-a,32vCPU-C7i,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | bfloat16 | HellaSwag,qwen/qwen1.5-moe-a,32vCPU-C7i,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | bfloat16 | IFEval,qwen/qwen1.5-moe-a,32vCPU-C7i,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | bfloat16 | MATH Lvl 5,qwen/qwen1.5-moe-a,32vCPU-C7i,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | bfloat16 | MMLU,qwen/qwen1.5-moe-a,32vCPU-C7i,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | bfloat16 | MMLU-PRO,qwen/qwen1.5-moe-a,32vCPU-C7i,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | bfloat16 | MuSR,qwen/qwen1.5-moe-a,32vCPU-C7i,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | bfloat16 | Winogrande,qwen/qwen1.5-moe-a,32vCPU-C7i,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float16 | ARC-Challenge,qwen/qwen1.5-moe-a,32vCPU-C7i,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float16 | BBH,qwen/qwen1.5-moe-a,32vCPU-C7i,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float16 | GPQA,qwen/qwen1.5-moe-a,32vCPU-C7i,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float16 | GSM8K,qwen/qwen1.5-moe-a,32vCPU-C7i,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float16 | HellaSwag,qwen/qwen1.5-moe-a,32vCPU-C7i,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float16 | IFEval,qwen/qwen1.5-moe-a,32vCPU-C7i,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float16 | MATH Lvl 5,qwen/qwen1.5-moe-a,32vCPU-C7i,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float16 | MMLU,qwen/qwen1.5-moe-a,32vCPU-C7i,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float16 | MMLU-PRO,qwen/qwen1.5-moe-a,32vCPU-C7i,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float16 | MuSR,qwen/qwen1.5-moe-a,32vCPU-C7i,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float16 | Winogrande,qwen/qwen1.5-moe-a,32vCPU-C7i,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float32 | ARC-Challenge,qwen/qwen1.5-moe-a,32vCPU-C7i,float32,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float32 | BBH,qwen/qwen1.5-moe-a,32vCPU-C7i,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float32 | GPQA,qwen/qwen1.5-moe-a,32vCPU-C7i,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float32 | GSM8K,qwen/qwen1.5-moe-a,32vCPU-C7i,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float32 | HellaSwag,qwen/qwen1.5-moe-a,32vCPU-C7i,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float32 | IFEval,qwen/qwen1.5-moe-a,32vCPU-C7i,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float32 | MATH Lvl 5,qwen/qwen1.5-moe-a,32vCPU-C7i,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float32 | MMLU,qwen/qwen1.5-moe-a,32vCPU-C7i,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float32 | MMLU-PRO,qwen/qwen1.5-moe-a,32vCPU-C7i,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float32 | MuSR,qwen/qwen1.5-moe-a,32vCPU-C7i,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen1.5-moe-a | 32vCPU-C7i | float32 | Winogrande,qwen/qwen1.5-moe-a,32vCPU-C7i,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | bfloat16 | ARC-Challenge,qwen/qwen2,1xA10,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | bfloat16 | BBH,qwen/qwen2,1xA10,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | bfloat16 | GPQA,qwen/qwen2,1xA10,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | bfloat16 | GSM8K,qwen/qwen2,1xA10,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | bfloat16 | HellaSwag,qwen/qwen2,1xA10,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | bfloat16 | IFEval,qwen/qwen2,1xA10,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | bfloat16 | MATH Lvl 5,qwen/qwen2,1xA10,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | bfloat16 | MMLU,qwen/qwen2,1xA10,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | bfloat16 | MMLU-PRO,qwen/qwen2,1xA10,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | bfloat16 | MuSR,qwen/qwen2,1xA10,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | bfloat16 | Winogrande,qwen/qwen2,1xA10,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float16 | ARC-Challenge,qwen/qwen2,1xA10,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float16 | BBH,qwen/qwen2,1xA10,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float16 | GPQA,qwen/qwen2,1xA10,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float16 | GSM8K,qwen/qwen2,1xA10,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float16 | HellaSwag,qwen/qwen2,1xA10,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float16 | IFEval,qwen/qwen2,1xA10,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float16 | MATH Lvl 5,qwen/qwen2,1xA10,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float16 | MMLU,qwen/qwen2,1xA10,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float16 | MMLU-PRO,qwen/qwen2,1xA10,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float16 | MuSR,qwen/qwen2,1xA10,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float16 | Winogrande,qwen/qwen2,1xA10,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float32 | ARC-Challenge,qwen/qwen2,1xA10,float32,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float32 | BBH,qwen/qwen2,1xA10,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float32 | GPQA,qwen/qwen2,1xA10,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float32 | GSM8K,qwen/qwen2,1xA10,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float32 | HellaSwag,qwen/qwen2,1xA10,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float32 | IFEval,qwen/qwen2,1xA10,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float32 | MATH Lvl 5,qwen/qwen2,1xA10,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float32 | MMLU,qwen/qwen2,1xA10,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float32 | MMLU-PRO,qwen/qwen2,1xA10,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float32 | MuSR,qwen/qwen2,1xA10,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xA10 | float32 | Winogrande,qwen/qwen2,1xA10,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | bfloat16 | ARC-Challenge,qwen/qwen2,1xT4,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | bfloat16 | BBH,qwen/qwen2,1xT4,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | bfloat16 | GPQA,qwen/qwen2,1xT4,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | bfloat16 | GSM8K,qwen/qwen2,1xT4,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | bfloat16 | HellaSwag,qwen/qwen2,1xT4,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | bfloat16 | IFEval,qwen/qwen2,1xT4,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | bfloat16 | MATH Lvl 5,qwen/qwen2,1xT4,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | bfloat16 | MMLU,qwen/qwen2,1xT4,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | bfloat16 | MMLU-PRO,qwen/qwen2,1xT4,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | bfloat16 | MuSR,qwen/qwen2,1xT4,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | bfloat16 | Winogrande,qwen/qwen2,1xT4,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float16 | ARC-Challenge,qwen/qwen2,1xT4,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float16 | BBH,qwen/qwen2,1xT4,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float16 | GPQA,qwen/qwen2,1xT4,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float16 | GSM8K,qwen/qwen2,1xT4,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float16 | HellaSwag,qwen/qwen2,1xT4,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float16 | IFEval,qwen/qwen2,1xT4,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float16 | MATH Lvl 5,qwen/qwen2,1xT4,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float16 | MMLU,qwen/qwen2,1xT4,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float16 | MMLU-PRO,qwen/qwen2,1xT4,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float16 | MuSR,qwen/qwen2,1xT4,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float16 | Winogrande,qwen/qwen2,1xT4,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float32 | ARC-Challenge,qwen/qwen2,1xT4,float32,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float32 | BBH,qwen/qwen2,1xT4,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float32 | GPQA,qwen/qwen2,1xT4,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float32 | GSM8K,qwen/qwen2,1xT4,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float32 | HellaSwag,qwen/qwen2,1xT4,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float32 | IFEval,qwen/qwen2,1xT4,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float32 | MATH Lvl 5,qwen/qwen2,1xT4,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float32 | MMLU,qwen/qwen2,1xT4,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float32 | MMLU-PRO,qwen/qwen2,1xT4,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float32 | MuSR,qwen/qwen2,1xT4,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
qwen2 | 1xT4 | float32 | Winogrande,qwen/qwen2,1xT4,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
