suite,model,key,task,harness_task,chance,shots,step,train_tokens,params,nonemb,acc
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,33000,69206016000,70426624,18915328,0.171502
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,43000,90177536000,70426624,18915328,0.181741
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,53000,111149056000,70426624,18915328,0.183447
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,53000,111149056000,70426624,18915328,0.183447
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,63000,132120576000,70426624,18915328,0.180887
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,83000,174063616000,70426624,18915328,0.185154
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,93000,195035136000,70426624,18915328,0.174915
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,103000,216006656000,70426624,18915328,0.183447
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,113000,236978176000,70426624,18915328,0.174061
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,113000,236978176000,70426624,18915328,0.174061
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,123000,257949696000,70426624,18915328,0.186007
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,133000,278921216000,70426624,18915328,0.187713
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,143000,299892736000,70426624,18915328,0.183447
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,1500,3145728000,162322944,85056000,0.173208
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,6500,13631488000,162322944,85056000,0.174061
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,11500,24117248000,162322944,85056000,0.19198
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,16500,34603008000,162322944,85056000,0.195392
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,21500,45088768000,162322944,85056000,0.196246
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,26500,55574528000,162322944,85056000,0.194539
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,31500,66060288000,162322944,85056000,0.19198
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,36500,76546048000,162322944,85056000,0.179181
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,41500,87031808000,162322944,85056000,0.195392
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,46500,97517568000,162322944,85056000,0.187713
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,51500,108003328000,162322944,85056000,0.18686
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,56500,118489088000,162322944,85056000,0.187713
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,61500,128974848000,162322944,85056000,0.186007
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,66500,139460608000,162322944,85056000,0.174061
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,0,71500,149946368000,162322944,85056000,0.186007
Pythia v0,pythia-160m,160m,ARC-Challenge,arc_challenge,0.25,5,61500,128974848000,162322944,85056000,0.188567
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,1500,3145728000,405334016,302311424,0.176621
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,6500,13631488000,405334016,302311424,0.179181
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,11500,24117248000,405334016,302311424,0.198805
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,16500,34603008000,405334016,302311424,0.210751
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,21500,45088768000,405334016,302311424,0.21587
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,26500,55574528000,405334016,302311424,0.209044
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,31500,66060288000,405334016,302311424,0.216724
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,36500,76546048000,405334016,302311424,0.204778
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,41500,87031808000,405334016,302311424,0.214164
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,46500,97517568000,405334016,302311424,0.21587
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,51500,108003328000,405334016,302311424,0.219283
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,56500,118489088000,405334016,302311424,0.209044
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,61500,128974848000,405334016,302311424,0.21587
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,66500,139460608000,405334016,302311424,0.214164
Pythia v0,pythia-410m,410m,ARC-Challenge,arc_challenge,0.25,0,71500,149946368000,405334016,302311424,0.211604
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,3000,6291456000,1011781632,805736448,0.185154
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,13000,27262976000,1011781632,805736448,0.201365
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,23000,48234496000,1011781632,805736448,0.204778
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,33000,69206016000,1011781632,805736448,0.212457
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,43000,90177536000,1011781632,805736448,0.213311
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,53000,111149056000,1011781632,805736448,0.223549
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,63000,132120576000,1011781632,805736448,0.234642
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,73000,153092096000,1011781632,805736448,0.238908
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,83000,174063616000,1011781632,805736448,0.228669
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,93000,195035136000,1011781632,805736448,0.251706
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,103000,216006656000,1011781632,805736448,0.238908
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,113000,236978176000,1011781632,805736448,0.235495
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,123000,257949696000,1011781632,805736448,0.244027
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,133000,278921216000,1011781632,805736448,0.234642
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,0,143000,299892736000,1011781632,805736448,0.244027
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,3000,6291456000,1011781632,805736448,0.183447
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,13000,27262976000,1011781632,805736448,0.214164
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,23000,48234496000,1011781632,805736448,0.228669
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,33000,69206016000,1011781632,805736448,0.225256
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,43000,90177536000,1011781632,805736448,0.225256
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,53000,111149056000,1011781632,805736448,0.238055
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,63000,132120576000,1011781632,805736448,0.244881
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,73000,153092096000,1011781632,805736448,0.25256
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,83000,174063616000,1011781632,805736448,0.250853
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,93000,195035136000,1011781632,805736448,0.263652
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,103000,216006656000,1011781632,805736448,0.267918
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,113000,236978176000,1011781632,805736448,0.267065
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,123000,257949696000,1011781632,805736448,0.255119
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,133000,278921216000,1011781632,805736448,0.266212
Pythia v0,pythia-1b,1b,ARC-Challenge,arc_challenge,0.25,5,143000,299892736000,1011781632,805736448,0.261092
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,1500,3145728000,1414647808,1208602624,0.180887
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,6500,13631488000,1414647808,1208602624,0.200512
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,11500,24117248000,1414647808,1208602624,0.222696
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,16500,34603008000,1414647808,1208602624,0.233788
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,21500,45088768000,1414647808,1208602624,0.232082
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,26500,55574528000,1414647808,1208602624,0.248294
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,31500,66060288000,1414647808,1208602624,0.25256
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,36500,76546048000,1414647808,1208602624,0.254266
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,41500,87031808000,1414647808,1208602624,0.256826
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,46500,97517568000,1414647808,1208602624,0.259386
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,51500,108003328000,1414647808,1208602624,0.261092
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,56500,118489088000,1414647808,1208602624,0.262799
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,61500,128974848000,1414647808,1208602624,0.255119
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,66500,139460608000,1414647808,1208602624,0.259386
Pythia v0,pythia-1.4b,1.4b,ARC-Challenge,arc_challenge,0.25,0,71500,149946368000,1414647808,1208602624,0.255973
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,3000,6291456000,2775208960,2517652480,0.18942
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,13000,27262976000,2775208960,2517652480,0.222696
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,23000,48234496000,2775208960,2517652480,0.244027
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,33000,69206016000,2775208960,2517652480,0.255973
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,43000,90177536000,2775208960,2517652480,0.258532
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,53000,111149056000,2775208960,2517652480,0.268771
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,63000,132120576000,2775208960,2517652480,0.282423
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,73000,153092096000,2775208960,2517652480,0.286689
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,83000,174063616000,2775208960,2517652480,0.286689
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,93000,195035136000,2775208960,2517652480,0.295222
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,103000,216006656000,2775208960,2517652480,0.287543
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,113000,236978176000,2775208960,2517652480,0.295222
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,123000,257949696000,2775208960,2517652480,0.290956
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,133000,278921216000,2775208960,2517652480,0.307167
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,0,143000,299892736000,2775208960,2517652480,0.290956
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,3000,6291456000,2775208960,2517652480,0.192833
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,13000,27262976000,2775208960,2517652480,0.234642
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,23000,48234496000,2775208960,2517652480,0.264505
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,33000,69206016000,2775208960,2517652480,0.278157
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,43000,90177536000,2775208960,2517652480,0.297782
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,53000,111149056000,2775208960,2517652480,0.295222
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,63000,132120576000,2775208960,2517652480,0.289249
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,73000,153092096000,2775208960,2517652480,0.305461
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,83000,174063616000,2775208960,2517652480,0.307167
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,93000,195035136000,2775208960,2517652480,0.323379
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,103000,216006656000,2775208960,2517652480,0.316553
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,113000,236978176000,2775208960,2517652480,0.322526
Pythia v0,pythia-2.8b,2.8b,ARC-Challenge,arc_challenge,0.25,5,123000,257949696000,2775208960,2517652480,0.322526
